Wall time,Step,Value
1682945997.132826,3,0.0
1682945999.3962398,4,0.0
1682946012.135752,10,0.0
1682946021.3783302,14,0.0
1682946023.6643221,15,0.0
1682946029.697132,18,0.0
1682946031.7016199,19,0.0
1682946034.056947,20,0.0
1682946038.489998,22,0.0
1682946040.6257439,23,0.0
1682946046.67263,26,0.0
1682946048.824769,27,0.0
1682946072.6801028,38,0.0
1682946077.036484,40,0.0
1682946092.613317,47,0.0
1682946094.904001,48,0.0
1682946097.437908,49,0.0
1682946102.118442,51,0.0
1682946108.740928,54,0.0
1682946115.216032,57,0.0
1682946121.326977,60,0.0
1682946123.668714,61,0.0
1682946125.984298,62,0.0
1682946128.169496,63,0.0
1682946132.5124102,65,0.0
1682946134.640497,66,0.0
1682946136.667008,67,0.0
1682946139.405875,68,0.0
1682946143.803186,70,0.0
1682946145.9639628,71,0.0
1682946158.800691,77,0.0
1682946163.053186,79,0.0
1682946169.692788,82,0.0
1682946176.3980742,85,0.0
1682946187.336546,89,0.0
1682946209.034625,99,0.0
1682946217.957062,103,0.0
1682946225.156723,106,0.0
1682946227.477663,107,0.0
1682946232.107337,109,0.0
1682946247.078094,116,0.0
1682946258.1464262,121,0.0
1682946270.375584,125,0.0
1682946272.431573,126,0.0
1682946276.4009962,128,0.0
1682946280.4752278,130,0.0
1682946359.019259,136,0.0
1682946362.20121,137,0.0
1682946380.162573,144,0.0
1682946385.063875,146,0.0
1682946387.137323,147,0.0
1682946394.371317,150,0.0
1682946411.4254878,157,0.0
1682946418.32079,160,0.0
1682946423.3673432,162,0.0
1682946428.045165,164,0.0
1682946441.143154,170,0.0
1682946443.910589,171,0.0
1682946447.2363882,172,0.0
1682946465.2634509,177,0.0
1682946475.5577228,181,0.0
1682946483.0126379,184,0.0
1682946486.277645,185,0.0
1682946489.3830998,186,0.0
1682946503.179426,190,0.0
1682946506.319573,191,0.0
1682946508.776055,192,0.0
1682946524.0853279,199,0.0
1682946530.590485,202,0.0
1682946532.7133708,203,0.0
1682946534.904928,204,0.0
1682946537.096195,205,0.0
1682946541.478834,207,0.0
1682946550.169564,211,0.0
1682946554.604296,213,0.0
1682946559.01186,215,0.0
1682946568.8534431,219,0.009999999776482582
1682946570.502871,220,0.009999999776482582
1682946572.3764422,221,0.009999999776482582
1682946576.2352839,224,0.009999999776482582
1682946583.338721,229,0.009999999776482582
1682946596.945993,239,0.009999999776482582
1682946599.55724,241,0.009999999776482582
1682946603.6207428,244,0.009999999776482582
1682946604.9449239,245,0.009999999776482582
1682946606.292029,246,0.009999999776482582
1682946617.172642,254,0.009999999776482582
1682946622.534772,258,0.009999999776482582
1682946623.829163,259,0.009999999776482582
1682946625.114242,260,0.009999999776482582
1682946644.125191,271,0.009999999776482582
1682946649.926661,274,0.009999999776482582
1682946653.128421,276,0.009999999776482582
1682946655.9975932,278,0.009999999776482582
1682946658.967716,280,0.009999999776482582
1682946662.431127,282,0.009999999776482582
1682946667.069226,285,0.009999999776482582
1682946671.319337,288,0.009999999776482582
1682946674.254855,290,0.009999999776482582
1682946681.687146,295,0.009999999776482582
1682946684.275012,297,0.009999999776482582
1682946685.53155,298,0.009999999776482582
1682946695.776746,306,0.019999999552965164
1682946698.3728378,308,0.029999999329447746
1682946703.808107,312,0.029999999329447746
1682946709.305026,316,0.029999999329447746
1682946712.0189319,318,0.019999999552965164
1682946713.38715,319,0.019999999552965164
1682946717.280111,322,0.019999999552965164
1682946740.621699,337,0.019999999552965164
1682946741.8488572,338,0.019999999552965164
1682946747.979189,343,0.019999999552965164
1682946750.479139,345,0.019999999552965164
1682946751.9312289,346,0.019999999552965164
1682946759.587672,352,0.019999999552965164
1682946763.0166242,354,0.019999999552965164
1682946769.0351381,358,0.019999999552965164
1682946774.786813,362,0.019999999552965164
1682946776.300483,363,0.019999999552965164
1682946777.9086888,364,0.019999999552965164
1682946779.6260521,365,0.019999999552965164
1682946781.262423,366,0.019999999552965164
1682946782.8501482,367,0.019999999552965164
1682946800.664792,378,0.019999999552965164
1682946813.30827,386,0.019999999552965164
1682946819.035831,390,0.019999999552965164
1682946822.544684,392,0.019999999552965164
1682946825.704118,394,0.019999999552965164
1682946831.163442,397,0.019999999552965164
1682946839.152669,402,0.019999999552965164
1682946842.180089,404,0.019999999552965164
1682946849.528926,409,0.0
1682946854.581459,413,0.0
1682946855.831928,414,0.0
1682946857.1276412,415,0.0
1682946865.055706,421,0.0
1682946866.369497,422,0.0
1682946870.2885492,425,0.0
1682946871.532573,426,0.0
1682946876.656689,430,0.0
1682946883.115049,435,0.0
1682946884.411967,436,0.0
1682946885.746838,437,0.0
1682946888.430547,439,0.0
1682946891.050008,441,0.0
1682946893.875228,443,0.0
1682946895.360095,444,0.0
1682946898.1051562,446,0.0
1682946903.168801,450,0.0
1682946905.815375,452,0.0
1682946911.1713269,456,0.0
1682946916.74259,460,0.0
1682946918.06003,461,0.0
1682946923.303203,465,0.0
1682946924.5545201,466,0.0
1682946927.0955899,468,0.0
1682946929.731874,470,0.0
1682946934.801773,474,0.0
1682946936.0892959,475,0.0
1682946942.624366,480,0.0
1682946944.0121422,481,0.0
1682946947.884403,484,0.0
1682946951.71779,487,0.0
1682946952.9738271,488,0.0
1682946954.243103,489,0.0
1682946956.914967,491,0.0
1682946961.0539122,494,0.0
1682946966.465835,498,0.009999999776482582
1682946971.685709,502,0.009999999776482582
1682946972.940259,503,0.009999999776482582
1682946980.717237,509,0.019999999552965164
1682946981.995601,510,0.019999999552965164
1682946983.243079,511,0.019999999552965164
1682946984.518122,512,0.019999999552965164
1682946985.807497,513,0.019999999552965164
1682946987.0752928,514,0.019999999552965164
1682946990.9595678,517,0.019999999552965164
1682946992.2369971,518,0.019999999552965164
1682946993.482335,519,0.019999999552965164
1682947015.4413068,533,0.05000000074505806
1682947016.8937411,534,0.05000000074505806
1682947019.632053,536,0.05000000074505806
1682947021.3053088,537,0.05000000074505806
1682947022.7495308,538,0.05000000074505806
1682947025.531605,540,0.05999999865889549
1682947028.029644,542,0.05999999865889549
1682947030.901973,544,0.05999999865889549
1682947033.5502021,546,0.05999999865889549
1682947035.201474,547,0.05999999865889549
1682947039.971694,550,0.05999999865889549
