Wall time,Step,Value
1682945876.3477252,3,0.0
1682945878.2105558,4,0.0
1682945888.3807092,10,0.0
1682945897.187437,14,0.0
1682945899.3690429,15,0.0
1682945905.972115,18,0.0
1682945908.3234172,19,0.0
1682945910.592963,20,0.0
1682945914.760246,22,0.0
1682945917.26474,23,0.0
1682945923.5231738,26,0.0
1682945925.908499,27,0.0
1682945948.727106,38,0.0
1682945952.7433522,40,0.0
1682945965.931329,47,0.0
1682945967.720681,48,0.0
1682945969.338567,49,0.0
1682945973.6504672,51,0.0
1682945981.369556,54,0.0
1682945988.365908,57,0.0
1682945995.104265,60,0.0
1682945997.1694562,61,0.0
1682945999.388834,62,0.0
1682946001.504817,63,0.0
1682946005.718642,65,0.0
1682946007.849819,66,0.0
1682946009.801422,67,0.0
1682946011.875385,68,0.0
1682946016.3070679,70,0.0
1682946018.640716,71,0.0
1682946031.5451798,77,0.0
1682946036.305812,79,0.0
1682946042.624737,82,0.0
1682946048.965518,85,0.0
1682946057.830281,89,0.0
1682946080.147464,99,0.0
1682946089.217636,103,0.0
1682946096.0476532,106,0.0
1682946098.649708,107,0.0
1682946103.040683,109,0.0
1682946117.738015,116,0.0
1682946128.477663,121,0.0
1682946136.936909,125,0.0
1682946139.706468,126,0.0
1682946144.09113,128,0.0
1682946148.263509,130,0.0
1682946160.435103,136,0.0
1682946162.405869,137,0.0
1682946178.17556,144,0.0
1682946183.984652,146,0.0
1682946186.595794,147,0.0
1682946193.029444,150,0.0
1682946208.300012,157,0.0
1682946214.807394,160,0.0
1682946219.4697652,162,0.0
1682946224.329955,164,0.0
1682946237.721705,170,0.0
1682946240.027667,171,0.0
1682946242.078809,172,0.0
1682946252.579982,177,0.0
1682946266.139513,181,0.0
1682946272.078584,184,0.0
1682946273.999637,185,0.0
1682946275.924505,186,0.0
1682946340.518764,190,0.0
1682946345.0694022,191,0.0
1682946349.720213,192,0.0
1682946371.775104,199,0.0
1682946378.231084,202,0.0
1682946380.521394,203,0.0
1682946382.998115,204,0.0
1682946385.263839,205,0.0
1682946389.6962502,207,0.0
1682946399.292324,211,0.0
1682946403.580847,213,0.0
1682946408.773665,215,0.0
1682946417.969911,219,0.0
1682946420.19223,220,0.0
1682946422.838576,221,0.0
1682946429.570318,224,0.0
1682946440.3356469,229,0.0
1682946472.2568161,239,0.0
1682946476.824716,241,0.0
1682946484.52626,244,0.0
1682946487.798879,245,0.0
1682946490.68315,246,0.0
1682946514.0316522,254,0.0
1682946522.919168,258,0.0
1682946525.095455,259,0.0
1682946527.281131,260,0.0
1682946551.379381,271,0.0
1682946557.960611,274,0.0
1682946563.133481,276,0.0
1682946567.934732,278,0.0
1682946571.554878,280,0.0
1682946574.423962,282,0.0
1682946578.671286,285,0.0
1682946582.794815,288,0.0
1682946585.361401,290,0.0
1682946592.6795342,295,0.0
1682946595.276096,297,0.0
1682946596.5818748,298,0.0
1682946607.3016052,306,0.0
1682946609.97941,308,0.0
1682946615.332813,312,0.0
1682946620.863439,316,0.0
1682946623.465808,318,0.0
1682946624.770456,319,0.0
1682946629.526322,322,0.0
1682946655.743359,337,0.0
1682946657.1077702,338,0.0
1682946665.559784,343,0.0
1682946668.317657,345,0.0
1682946669.786064,346,0.0
1682946678.928589,352,0.0
1682946681.810343,354,0.0
1682946687.088792,358,0.0
1682946692.277847,362,0.0
1682946693.5564759,363,0.0
1682946694.9576719,364,0.0
1682946696.273828,365,0.0
1682946697.588929,366,0.0
1682946698.9527638,367,0.0
1682946714.24485,378,0.0
1682946724.659796,386,0.0
1682946729.867358,390,0.0
1682946734.33956,392,0.0
1682946738.70593,394,0.0
1682946742.8391418,397,0.0
1682946749.032427,402,0.0
1682946751.773865,404,0.0
1682946757.915005,409,0.0
1682946764.0618858,413,0.0
1682946765.601908,414,0.0
1682946767.2712362,415,0.0
1682946775.8762822,421,0.0
1682946777.57393,422,0.0
1682946782.5626628,425,0.0
1682946783.981667,426,0.0
1682946790.653701,430,0.0
1682946799.055406,435,0.0
1682946800.556344,436,0.0
1682946802.154458,437,0.0
1682946805.175186,439,0.0
1682946808.226033,441,0.0
1682946811.775811,443,0.0
1682946813.235381,444,0.0
1682946816.072521,446,0.0
1682946822.477482,450,0.0
1682946825.7081091,452,0.0
1682946833.090264,456,0.0
1682946839.564746,460,0.0
1682946841.302151,461,0.0
1682946847.5538938,465,0.0
1682946848.9234948,466,0.0
1682946851.626672,468,0.0
1682946854.268619,470,0.0
1682946859.6633248,474,0.0
1682946861.010102,475,0.0
1682946867.743393,480,0.0
1682946869.0781791,481,0.0
1682946873.029515,484,0.0
1682946877.025513,487,0.0
1682946878.3473432,488,0.0
1682946879.6790679,489,0.0
1682946882.4105332,491,0.0
1682946886.4429681,494,0.0
1682946891.820866,498,0.0
1682946897.64677,502,0.0
1682946899.001736,503,0.0
1682946906.946838,509,0.0
1682946908.296962,510,0.0
1682946909.645453,511,0.0
1682946910.995435,512,0.0
1682946912.354569,513,0.0
1682946913.9181561,514,0.0
1682946918.077313,517,0.0
1682946919.49899,518,0.0
1682946920.856828,519,0.0
1682946939.298713,533,0.0
1682946940.6545951,534,0.0
1682946943.3935602,536,0.0
1682946944.723027,537,0.0
1682946946.045291,538,0.0
1682946948.630017,540,0.0
1682946951.243419,542,0.0
1682946953.892857,544,0.0
1682946956.56318,546,0.0
1682946957.935709,547,0.0
1682946962.0262861,550,0.0
1682946964.8066812,552,0.0
1682946968.924822,555,0.0
1682946970.2610738,556,0.0
1682946978.1413069,562,0.0
1682946979.4356952,563,0.0
1682946980.746305,564,0.0
1682946986.083095,568,0.0
1682946990.159777,571,0.0
1682946992.8479471,573,0.0
1682946997.221833,576,0.0
1682947004.411922,580,0.0
1682947010.7089732,584,0.0
1682947012.267791,585,0.0
1682947016.8204658,588,0.0
1682947019.551894,590,0.0
1682947021.236515,591,0.0
1682947025.495873,594,0.0
1682947028.0206778,596,0.0
1682947031.009708,598,0.0
1682947032.357993,599,0.0
1682947037.0593002,602,0.0
1682947038.5878458,603,0.0
1682947046.3532832,608,0.0
1682947052.8483672,613,0.0
1682947054.110917,614,0.0
1682947056.848264,616,0.0
1682947062.216983,620,0.0
1682947064.810053,622,0.0
1682947066.14146,623,0.0
1682947070.117316,626,0.0
1682947072.752843,628,0.0
1682947074.03719,629,0.0
1682947079.309748,633,0.0
1682947084.55533,637,0.0
1682947088.517573,640,0.0
1682947089.852353,641,0.0
1682947091.190491,642,0.0
1682947092.505053,643,0.0
1682947093.78671,644,0.0
1682947100.274314,649,0.0
1682947102.7719932,651,0.0
1682947104.0150049,652,0.0
1682947106.540472,654,0.0
1682947107.8226418,655,0.0
1682947111.672192,658,0.0
1682947114.319575,660,0.0
1682947123.53515,667,0.0
1682947127.520703,670,0.0
1682947134.092428,675,0.0
1682947135.355,676,0.0
1682947140.630877,680,0.0
1682947145.925101,684,0.0
1682947149.9390662,687,0.0
1682947156.705277,692,0.0
1682947159.3639529,694,0.0
1682947162.000376,696,0.0
1682947163.335826,697,0.0
1682947166.02265,699,0.0
1682947169.93955,702,0.0
1682947173.809521,705,0.0
1682947180.307319,710,0.0
1682947186.71894,715,0.0
1682947189.2349892,717,0.0
1682947193.10983,720,0.0
1682947194.384232,721,0.0
1682947197.002017,723,0.0
1682947199.626682,725,0.0
1682947200.938891,726,0.0
1682947203.574095,728,0.0
1682947205.176905,729,0.0
1682947208.432349,731,0.0
1682947209.7426171,732,0.0
1682947211.389319,733,0.0
1682947217.8615448,738,0.0
1682947222.931564,742,0.0
1682947225.472658,744,0.0
1682947247.5449972,756,0.0
1682947251.090524,758,0.0
1682947261.187197,764,0.0
1682947262.8673432,765,0.0
1682947266.82578,768,0.0
1682947268.254117,769,0.0
1682947272.616318,772,0.0
1682947276.8377311,775,0.0
1682947278.297005,776,0.0
1682947281.275024,778,0.0
1682947282.704452,779,0.0
1682947284.135183,780,0.0
1682947285.609878,781,0.0
1682947287.0985248,782,0.0
1682947296.31525,788,0.0
1682947300.14564,791,0.0
1682947317.1046422,804,0.0
1682947318.469902,805,0.0
1682947319.810137,806,0.0
1682947321.1466482,807,0.0
1682947325.203549,810,0.0
1682947335.743714,818,0.0
1682947337.057833,819,0.0
1682947347.626784,827,0.0
1682947348.979003,828,0.0
1682947354.256321,832,0.0
1682947355.564086,833,0.0
1682947358.175603,835,0.0
1682947359.493773,836,0.0
1682947363.45888,839,0.0
1682947364.785562,840,0.0
1682947368.753464,843,0.0
1682947371.630144,845,0.0
1682947378.26574,850,0.0
1682947379.59481,851,0.0
1682947384.214062,854,0.0
1682947388.191293,857,0.0
1682947392.3301702,860,0.0
1682947394.961029,862,0.0
1682947398.9785101,865,0.0
1682947400.3036969,866,0.0
1682947405.670414,870,0.0
1682947406.9902139,871,0.0
1682947425.203586,884,0.0
1682947428.071027,886,0.0
1682947433.449745,890,0.0
1682947436.050484,892,0.0
1682947439.916097,895,0.0
1682947442.597443,897,0.0
1682947443.9101949,898,0.0
1682947447.8097658,901,0.0
1682947449.085545,902,0.0
1682947455.808625,907,0.0
1682947457.1538508,908,0.0
1682947460.097229,910,0.0
1682947461.415831,911,0.0
1682947465.432459,914,0.0
1682947470.7978292,918,0.0
1682947472.125064,919,0.0
1682947474.7749639,921,0.0
1682947484.0930402,928,0.0
1682947486.764392,930,0.0
1682947488.103158,931,0.0
1682947489.469454,932,0.0
1682947498.3387341,939,0.0
1682947502.079713,942,0.0
1682947505.81476,945,0.0
1682947510.8490748,949,0.0
1682947514.622268,952,0.0
1682947518.417344,955,0.0
1682947524.621425,960,0.0
1682947528.336819,963,0.0
1682947530.866596,965,0.0
1682947533.3173409,967,0.0
1682947534.6388328,968,0.0
1682947547.0794082,978,0.0
1682947548.335567,979,0.0
1682947552.043586,982,0.0
1682947557.0729868,986,0.0
1682947562.12774,990,0.0
1682947564.6184268,992,0.0
1682947567.116829,994,0.0
1682947569.5944011,996,0.0
1682947572.330795,998,0.0
1682947573.5970979,999,0.0
1682947577.381248,1002,0.0
1682947578.628669,1003,0.0
1682947579.8798678,1004,0.0
1682947582.3325372,1006,0.0
1682947588.58583,1011,0.0
1682947591.116184,1013,0.0
1682947593.609201,1015,0.0
1682947602.4607098,1022,0.0
1682947607.405704,1026,0.0
1682947609.9117272,1028,0.0
1682947618.601527,1035,0.0
1682947619.896936,1036,0.0
1682947621.1396701,1037,0.0
1682947622.4652328,1038,0.0
1682947623.696364,1039,0.0
1682947630.306891,1043,0.0
1682947635.4327512,1046,0.0
1682947648.6995242,1056,0.0
1682947651.222168,1058,0.0
1682947653.82186,1060,0.0
1682947656.394064,1062,0.0
1682947660.297825,1065,0.0
1682947662.863544,1067,0.0
1682947665.454675,1069,0.0
1682947666.769109,1070,0.0
1682947668.03297,1071,0.0
1682947669.323528,1072,0.0
1682947670.6087859,1073,0.0
1682947671.888051,1074,0.0
1682947675.756366,1077,0.0
1682947679.634944,1080,0.0
1682947685.987086,1085,0.0
1682947687.249592,1086,0.0
1682947688.5091121,1087,0.0
1682947693.585541,1091,0.0
1682947702.50433,1098,0.0
1682947705.01334,1100,0.0
1682947707.6103659,1102,0.0
1682947708.912334,1103,0.0
1682947710.182401,1104,0.0
1682947714.153059,1107,0.0
1682947716.704521,1109,0.0
1682947719.280757,1111,0.0
1682947720.611681,1112,0.0
1682947723.190311,1114,0.0
1682947729.645111,1119,0.0
1682947732.236783,1121,0.0
1682947733.5416949,1122,0.0
1682947737.5703192,1125,0.0
1682947738.902354,1126,0.0
1682947741.5430589,1128,0.0
1682947742.82868,1129,0.0
1682947746.83764,1132,0.0
1682947749.5039659,1134,0.0
1682947752.11113,1136,0.0
1682947756.122014,1139,0.0
1682947765.367012,1146,0.0
1682947770.7287822,1150,0.0
1682947772.041142,1151,0.0
1682947773.313283,1152,0.0
1682947783.729185,1160,0.0
1682947786.329469,1162,0.0
1682947788.901186,1164,0.0
1682947792.797676,1167,0.0
1682947800.796364,1173,0.0
1682947802.0611808,1174,0.0
1682947804.5964842,1176,0.0
1682947805.885462,1177,0.0
1682947807.163163,1178,0.0
1682947812.290776,1182,0.0
1682947814.839922,1184,0.0
1682947817.3864489,1186,0.0
1682947821.303201,1189,0.0
1682947822.6151621,1190,0.0
1682947826.4697778,1193,0.0
1682947827.7876961,1194,0.0
1682947831.7267609,1197,0.0
1682947842.210527,1205,0.0
1682947843.529844,1206,0.0
1682947844.8270998,1207,0.0
1682947853.88323,1214,0.0
1682947859.111187,1218,0.0
1682947865.7044532,1223,0.0
1682947868.276523,1225,0.0
1682947873.500383,1229,0.0
1682947877.362821,1232,0.0
1682947885.261313,1238,0.0
1682947893.114609,1244,0.0
1682947895.711633,1246,0.0
1682947899.568504,1249,0.0
1682947900.909896,1250,0.0
1682947902.194425,1251,0.0
1682947903.4816031,1252,0.0
1682947906.050795,1254,0.0
1682947908.627737,1256,0.0
1682947909.9055328,1257,0.0
1682947913.808896,1260,0.0
1682947915.0942478,1261,0.0
1682947922.799117,1267,0.0
1682947927.918535,1271,0.0
1682947934.381591,1276,0.0
1682947935.663082,1277,0.0
1682947936.97855,1278,0.0
1682947942.117787,1282,0.0
1682947945.945854,1285,0.0
1682947952.377695,1290,0.0
1682947956.2452831,1293,0.0
1682947962.611582,1298,0.0
1682947963.901176,1299,0.0
1682947967.679277,1302,0.0
1682947972.824896,1306,0.0
1682947977.953436,1310,0.0
1682947984.524652,1315,0.0
1682947990.885777,1320,0.0
1682947993.520635,1322,0.0
1682947997.306327,1325,0.0
1682947998.5656168,1326,0.0
1682948001.143426,1328,0.0
1682948010.170387,1335,0.0
1682948022.974602,1345,0.0
1682948026.814049,1348,0.0
1682948031.8824708,1352,0.0
1682948034.459457,1354,0.0
1682948042.161387,1360,0.0
1682948047.219442,1364,0.0
1682948048.5205739,1365,0.0
1682948049.833722,1366,0.0
1682948051.140861,1367,0.0
1682948052.426825,1368,0.0
1682948061.365259,1375,0.0
1682948062.6408691,1376,0.0
